Timestamp,Pixel_X,Pixel_Y,Depth_mm,Temperature_C,ToF_Amplitude,Target_Label
2026-03-22T10:00:00,228,25,10938.7,14.046789310807009,75.88,Not Present
2026-03-22T10:00:01,65,30,10791.93,28.62512439362268,70.57,Not Present
2026-03-22T10:00:02,1116,429,15071.19,26.500858010141012,62.37,Not Present
2026-03-22T10:00:03,318,220,4682.97,13.582191599957792,94.0,Not Present
2026-03-22T10:00:04,1236,270,6648.66,23.480893340375932,88.83,Not Present
2026-03-22T10:00:05,1266,370,16454.86,27.03797907602374,58.56,Not Present
2026-03-22T10:00:06,163,238,4900.63,14.983826357594303,102.84,Not Present
2026-03-22T10:00:07,146,623,14409.68,10.227301194188152,66.36,Not Present
2026-03-22T10:00:08,1140,224,18114.22,16.81003100033689,51.81,Not Present
2026-03-22T10:00:09,432,580,4573.39,15.678519258879728,102.58,Not Present
2026-03-22T10:00:10,939,146,10959.53,25.72345496111037,66.96,Not Present
2026-03-22T10:00:11,449,141,9090.91,18.181237665160925,78.22,Not Present
2026-03-22T10:00:12,395,288,4989.156721428746,35.173785116078214,79.45,Victim
2026-03-22T10:00:13,234,698,6754.39,29.117381247622134,91.19,Not Present
2026-03-22T10:00:14,323,464,16665.1,20.14630427538092,53.79,Not Present
2026-03-22T10:00:15,611,654,10386.93,25.355364684922357,72.52,Not Present
2026-03-22T10:00:16,1086,0,13863.27,10.27469272320279,73.57,Not Present
2026-03-22T10:00:17,493,580,3428.27,22.890985925404074,105.45,Not Present
2026-03-22T10:00:18,257,131,19362.18,13.258129750262968,32.43,Not Present
2026-03-22T10:00:19,411,319,16060.24,10.327527274000811,47.74,Not Present
2026-03-22T10:00:20,337,210,4983.279555930789,37.161645031872105,94.83,Victim
2026-03-22T10:00:21,1133,142,9546.639743133379,36.14504700524472,106.94,Victim
2026-03-22T10:00:22,270,584,10915.97,15.061870863491148,82.42,Not Present
2026-03-22T10:00:23,1094,105,9582.92820208178,34.049553374288855,111.01,Victim
2026-03-22T10:00:24,694,111,10282.51,17.09425198080723,78.19,Not Present
2026-03-22T10:00:25,907,563,15825.74,18.77578369438884,60.43,Not Present
2026-03-22T10:00:26,1085,179,9423.442618739185,34.293223820278634,65.06,Victim
2026-03-22T10:00:27,931,292,19487.81,19.128508012444286,42.33,Not Present
2026-03-22T10:00:28,317,194,19624.51,18.88327022598361,41.48,Not Present
2026-03-22T10:00:29,1029,543,19529.35,11.757623908751665,40.17,Not Present
2026-03-22T10:00:30,481,413,18683.45,19.661456631781334,41.45,Not Present
2026-03-22T10:00:31,1070,323,4021.3,16.431530224779962,100.36,Not Present
